Date,NEW_COVID_CASE_COUNT_Nebraska,NEW_COVID_CASE_COUNT_NewYork,total_NE,total_NY
3/2/2020,0,1,0,1
3/3/2020,0,2,0,3
3/4/2020,0,10,0,13
3/5/2020,0,2,0,15
3/6/2020,0,8,0,23
3/7/2020,0,13,0,36
3/8/2020,2,20,2,56
3/9/2020,0,53,2,109
3/10/2020,1,71,3,180
3/11/2020,0,156,3,336
3/12/2020,5,357,8,693
3/13/2020,4,614,12,1307
3/14/2020,3,629,15,1936
3/15/2020,1,1008,16,2944
3/16/2020,1,2033,17,4977
3/17/2020,5,2335,22,7312
3/18/2020,4,2791,26,10103
3/19/2020,6,3463,32,13566
3/20/2020,4,3699,36,17265
3/21/2020,6,2179,42,19444
3/22/2020,5,2057,47,21501
3/23/2020,6,3114,53,24615
3/24/2020,10,3525,63,28140
3/25/2020,7,3837,70,31977
3/26/2020,4,3960,74,35937
3/27/2020,15,4010,89,39947
3/28/2020,25,2388,114,42335
3/29/2020,20,2652,134,44987
3/30/2020,16,4356,150,49343
3/31/2020,27,3710,177,53053
4/1/2020,39,3571,216,56624
4/2/2020,47,3905,263,60529
4/3/2020,22,3250,285,63779
4/4/2020,35,1091,320,64870
4/5/2020,44,1100,364,65970
04/06/202,46,1200,410,67170
